time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,429,1,0.001165501,0.001166181,-6.754021066
2,1,428,0.997668998,0.003115265,0.003120127,-5.769881465
5,0,424,0.988344988,0.001179245,0.001179941,-6.742290723
7,0,423,0.986013986,0.001182033,0.001182732,-6.739928052
9,1,422,0.983682984,0.000789889,0.000790202,-7.143222528
12,1,421,0.981351981,0.003562945,0.003569308,-5.635383603
14,3,418,0.974358974,0,0,
16,0,418,0.974358974,0,0,
19,0,418,0.974358974,0.001196172,0.001196888,-6.728030229
21,1,417,0.972027972,0,0,
23,0,417,0.972027972,0.001598721,0.0016,-6.437751436
26,1,415,0.967365967,0.002409639,0.002412546,-6.02707249
28,2,413,0.962703963,0.00968523,0.009732437,-4.63229096
30,8,405,0.944055944,0.006584362,0.006606135,-5.019756565
33,8,397,0.925407925,0.01511335,0.015228721,-4.184572114
35,12,385,0.897435897,0.007792208,0.007822726,-4.850722233
37,6,379,0.883449883,0.012313105,0.012389539,-4.39090279
40,14,365,0.850815851,0.026027397,0.026372104,-3.635448481
42,19,346,0.806526807,0.028901734,0.029327615,-3.529225712
44,20,326,0.75990676,0.023517382,0.02379833,-3.738139888
47,23,303,0.706293706,0.031353135,0.031855166,-3.446555705
49,19,284,0.662004662,0.024647887,0.024956732,-3.690611675
51,13,270,0.629370629,0.040740741,0.041593897,-3.179801822
54,33,237,0.552447552,0.050632911,0.051959739,-2.957286112
56,24,213,0.496503497,0.035211268,0.035846132,-3.328519618
58,15,198,0.461538462,0.037037037,0.037740328,-3.277026048
61,22,176,0.41025641,0.068181818,0.070617567,-2.650476338
63,24,152,0.354312354,0.082236842,0.08581592,-2.455550747
65,25,127,0.296037296,0.062992126,0.065063593,-2.732390128
68,24,103,0.24009324,0.126213592,0.134919318,-2.003078324
70,26,77,0.179487179,0.142857143,0.15415068,-1.869824714
72,22,55,0.128205128,0.066666667,0.068992871,-2.673752092
75,11,44,0.102564103,0.056818182,0.058496207,-2.83879337
77,5,39,0.090909091,0.192307692,0.2135741,-1.543771433
79,15,24,0.055944056,0.083333333,0.087011377,-2.441716399
82,6,18,0.041958042,0.083333333,0.087011377,-2.441716399
84,3,15,0.034965035,0.166666667,0.182321557,-1.701983355
86,5,10,0.023310023,0.133333333,0.143100844,-1.944205697
89,4,6,0.013986014,0.333333333,0.405465108,-0.902720456
91,4,2,0.004662005,0.25,0.287682072,-1.245899324
93,1,1,0.002331002,0.333333333,0.405465108,-0.902720456
96,1,0,0,,,
