time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,411,1,0,0,
2,0,411,1,0.00081103,0.000811359,-7.116799851
5,0,410,0.99756691,0.002439024,0.002442004,-6.014936406
7,1,408,0.99270073,0,0,
9,0,408,0.99270073,0.00245098,0.002453989,-6.010040431
12,1,405,0.98540146,0,0,
14,0,405,0.98540146,0.001234568,0.001235331,-6.696416646
16,0,404,0.98296837,0.001650165,0.001651528,-6.406054336
19,2,402,0.97810219,0.001243781,0.001244555,-6.688977056
21,1,401,0.9756691,0.077306733,0.080458422,-2.520014729
23,2,339,0.824817518,0,0,
26,0,339,0.824817518,0.005899705,0.005917177,-5.129895797
28,4,335,0.815085158,0,0,
30,0,335,0.815085158,0,0,
33,0,335,0.815085158,0.002985075,0.002989539,-5.812636135
35,1,333,0.810218978,0,0,
37,0,333,0.810218978,0.001001001,0.001001502,-6.906254069
40,1,332,0.807785888,0.012048193,0.012121361,-4.412786049
42,7,324,0.788321168,0.00462963,0.00464038,-5.372959115
44,3,321,0.781021898,0.00623053,0.00625002,-5.07517056
47,6,315,0.766423358,0.017460317,0.017614547,-4.039030201
49,11,304,0.739659367,0.008223684,0.008257685,-4.796610968
51,5,299,0.727493917,0.016722408,0.016863806,-4.082585607
54,15,284,0.690997567,0.042253521,0.043172172,-3.142559161
56,24,260,0.632603406,0.025,0.025317808,-3.676247258
58,13,247,0.600973236,0.033738192,0.034320458,-3.37201365
61,25,222,0.540145985,0.06981982,0.072376969,-2.625867131
63,29,191,0.464720195,0.04973822,0.051017774,-2.97558119
65,18,172,0.418491484,0.060077519,0.061957875,-2.781300568
68,28,141,0.343065693,0.156028369,0.169636397,-1.774097972
70,43,97,0.236009732,0.149484536,0.161912685,-1.82069807
72,29,68,0.165450122,0.117647059,0.125163143,-2.078137249
75,24,44,0.107055961,0.204545455,0.228841572,-1.474725338
77,18,26,0.063260341,0.134615385,0.144581229,-1.933913792
79,7,19,0.04622871,0.140350877,0.15123097,-1.88894701
82,8,11,0.02676399,0.363636364,0.451985124,-0.794106012
84,8,3,0.00729927,0.166666667,0.182321557,-1.701983355
86,1,2,0.00486618,0.166666667,0.182321557,-1.701983355
89,1,1,0.00243309,0,0,
91,0,1,0.00243309,0.5,0.693147181,-0.366512921
93,1,0,0,,,
