time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,432,1,0.003472222,0.003478264,-5.661221852
2,3,429,0.993055556,0.003108003,0.003112843,-5.772218829
5,3,425,0.983796296,0,0,
7,0,425,0.983796296,0.005882353,0.005899722,-5.132850026
9,1,420,0.972222222,0.002380952,0.002383791,-6.039063052
12,0,417,0.965277778,0,0,
14,0,417,0.965277778,0,0,
16,0,417,0.965277778,0.000799361,0.00079968,-7.131298697
19,1,416,0.962962963,0.001201923,0.001202646,-6.723231178
21,1,415,0.960648148,0.004819277,0.004830927,-5.332716848
23,4,411,0.951388889,0.00567721,0.005693387,-5.168450011
26,7,404,0.935185185,0.006188119,0.006207345,-5.082022079
28,5,399,0.923611111,0.00877193,0.00881063,-4.731796368
30,7,392,0.907407407,0.015306122,0.01542447,-4.171800048
33,18,374,0.865740741,0.028074866,0.0284765,-3.558676078
35,21,353,0.81712963,0.025495751,0.0258264,-3.656358071
37,18,335,0.775462963,0.04278607,0.04372837,-3.129758192
40,43,292,0.675925926,0.047945205,0.049132689,-3.013230711
42,28,264,0.611111111,0.034090909,0.034685558,-3.361431875
44,18,246,0.569444444,0.048780488,0.050010421,-2.995523884
47,36,210,0.486111111,0.09047619,0.094834103,-2.355626202
49,38,172,0.398148148,0.049418605,0.050681486,-2.982194593
51,17,155,0.358796296,0.086021505,0.089948237,-2.408520922
54,40,115,0.266203704,0.130434783,0.139761942,-1.967814715
56,30,85,0.196759259,0.076470588,0.079552632,-2.531336442
58,13,72,0.166666667,0.060185185,0.062072429,-2.779453372
61,13,59,0.136574074,0.194915254,0.216807733,-1.528744342
63,23,36,0.083333333,0.222222222,0.251314428,-1.381050422
65,16,20,0.046296296,0.05,0.051293294,-2.970195249
68,3,17,0.039351852,0.117647059,0.125163143,-2.078137249
70,4,13,0.030092593,0.076923077,0.080042708,-2.525194941
72,2,11,0.025462963,0.060606061,0.062520357,-2.772263064
75,2,9,0.020833333,0.111111111,0.117783036,-2.138911028
77,2,7,0.016203704,0.142857143,0.15415068,-1.869824714
79,2,5,0.011574074,0.066666667,0.068992871,-2.673752092
82,1,4,0.009259259,0.375,0.470003629,-0.755014863
84,3,1,0.002314815,0,0,
86,0,1,0.002314815,0.333333333,0.405465108,-0.902720456
89,1,0,0,,,
