time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,424,1,0.007075472,0.007100622,-4.947572957
2,6,418,0.985849057,0.000797448,0.000797766,-7.133694865
5,0,417,0.983490566,0.001199041,0.00119976,-6.725633582
7,1,416,0.981132075,0.001201923,0.001202646,-6.723231178
9,1,415,0.978773585,0.000803213,0.000803536,-7.126489068
12,1,414,0.976415094,0.001207729,0.001208459,-6.718408986
14,0,413,0.974056604,0.001210654,0.001211387,-6.715989141
16,1,412,0.971698113,0,0,
19,0,412,0.971698113,0,0,
21,0,412,0.971698113,0.004854369,0.00486619,-5.325444061
23,4,408,0.962264151,0.003267974,0.003273325,-5.721948886
26,4,404,0.952830189,0.011138614,0.011201113,-4.491742153
28,9,395,0.931603774,0.006329114,0.006349228,-5.059422099
30,5,390,0.919811321,0.003418803,0.003424661,-5.676752825
33,4,386,0.910377358,0.023316062,0.023592182,-3.746839892
35,18,368,0.867924528,0.010869565,0.010929071,-4.516329019
37,8,360,0.849056604,0.015740741,0.015865942,-4.143580494
40,16,343,0.808962264,0.026239067,0.026589454,-3.627240601
42,17,325,0.766509434,0.015384615,0.015504187,-4.166645192
44,10,315,0.742924528,0.02010582,0.020310693,-3.89660779
47,19,296,0.698113208,0.030405405,0.030877239,-3.477735983
49,18,278,0.655660377,0.041366906,0.04224687,-3.164225009
51,23,255,0.601415094,0.037908497,0.038645715,-3.253319374
54,29,226,0.533018868,0.07300885,0.07581126,-2.57950845
56,33,193,0.455188679,0.106217617,0.112292952,-2.186644176
58,41,152,0.358490566,0.070175439,0.072759354,-2.6205978
61,32,120,0.283018868,0.179166667,0.197435195,-1.622344877
63,40,77,0.181603774,0.188311688,0.208638865,-1.56715044
65,28,48,0.113207547,0.208333333,0.233614851,-1.454081455
68,28,18,0.04245283,0.166666667,0.182321557,-1.701983355
70,6,12,0.028301887,0.166666667,0.182321557,-1.701983355
72,4,8,0.018867925,0.333333333,0.405465108,-0.902720456
75,8,0,0,,,
