time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,462,1,0.057359307,0.059070095,-2.829030493
2,0,409,0.885281385,0.000814996,0.000815328,-7.111919808
5,0,408,0.883116883,0.00122549,0.001226242,-6.703801297
7,1,407,0.880952381,0.001228501,0.001229256,-6.701345801
9,1,406,0.878787879,0.001642036,0.001643386,-6.410996687
12,0,404,0.874458874,0,0,
14,0,404,0.874458874,0.001237624,0.00123839,-6.693942927
16,1,403,0.872294372,0.003308519,0.003314005,-5.709597945
19,4,399,0.863636364,0.002506266,0.002509412,-5.987706973
21,2,397,0.859307359,0.003778338,0.003785493,-5.576579023
23,3,394,0.852813853,0.001692047,0.001693481,-6.380969397
26,2,392,0.848484848,0.010204082,0.0102565,-4.579843612
28,8,384,0.831168831,0.01953125,0.019724505,-3.92589349
30,15,369,0.798701299,0.021680217,0.021918686,-3.820415777
33,23,345,0.746753247,0.026086957,0.026433257,-3.633132324
35,17,327,0.707792208,0.047400612,0.048560833,-3.024937985
37,31,296,0.640692641,0.05518018,0.056761037,-2.868905165
40,49,247,0.534632035,0.058704453,0.060498112,-2.805143128
42,29,218,0.471861472,0.052752294,0.05419465,-2.915173077
44,23,195,0.422077922,0.07008547,0.0726626,-2.621928465
47,41,154,0.333333333,0.071428571,0.074107972,-2.602232166
49,22,132,0.285714286,0.083333333,0.087011377,-2.441716399
51,22,110,0.238095238,0.063636364,0.065751378,-2.721874657
54,21,89,0.192640693,0.08988764,0.094187215,-2.362470828
56,16,73,0.158008658,0.047945205,0.049132689,-3.013230711
58,7,66,0.142857143,0.035353535,0.035993603,-3.324414061
61,7,59,0.127705628,0.06779661,0.070204259,-2.656346305
63,8,51,0.11038961,0.039215686,0.040005335,-3.218742468
65,4,47,0.101731602,0.056737589,0.058410762,-2.840255123
68,8,39,0.084415584,0.128205128,0.137201122,-1.986307389
70,9,29,0.062770563,0.034482759,0.03509132,-3.349801478
72,2,27,0.058441558,0.049382716,0.050643733,-2.982939791
75,4,23,0.04978355,0.065217391,0.067441281,-2.696497974
77,3,20,0.043290043,0.15,0.162518929,-1.816960795
79,6,14,0.03030303,0.095238095,0.100083459,-2.301750855
82,4,10,0.021645022,0.3,0.356674944,-1.030930433
84,6,4,0.008658009,0.125,0.133531393,-2.013418678
86,1,3,0.006493506,0.111111111,0.117783036,-2.138911028
89,1,2,0.004329004,0.5,0.693147181,-0.366512921
91,2,0,0,,,
