time,n.dying,no.surv,lx,qx,ux,ln.ux
,,,,,,
0,0,443,1,0.007900677,0.007932053,-4.836843397
,,,,,,
2,7,436,0.984198646,0.00382263,0.003829955,-5.564902253
,,,,,,
5,5,431,0.972911964,0,0,
,,,,,,
7,0,431,0.972911964,0.001160093,0.001160766,-6.758674944
,,,,,,
9,1,430,0.970654628,0.003100775,0.003105593,-5.774550742
,,,,,,
12,3,426,0.961625282,0.003521127,0.003527341,-5.647211086
,,,,,,
14,3,423,0.954853273,0.005910165,0.0059277,-5.128119061
,,,,,,
16,5,418,0.943566591,0.003987241,0.003995211,-5.522658868
,,,,,,
19,5,413,0.93227991,0.001210654,0.001211387,-6.715989141
,,,,,,
21,1,412,0.930022573,0.004854369,0.00486619,-5.325444061
,,,,,,
23,4,408,0.920993228,0.004084967,0.004093334,-5.498395582
,,,,,,
26,5,403,0.909706546,0.012406948,0.012484557,-4.383262866
,,,,,,
28,10,393,0.887133183,0.01653944,0.016677744,-4.093680152
,,,,,,
30,13,380,0.85778781,0.011403509,0.011469027,-4.468105151
,,,,,,
33,13,367,0.828442438,0.017711172,0.017869891,-4.024638031
,,,,,,
35,13,354,0.799097065,0.026836158,0.027202823,-3.604434536
,,,,,,
37,19,335,0.756207675,0.034825871,0.035446749,-3.339723737
,,,,,,
40,35,300,0.677200903,0.031666667,0.032178898,-3.436444372
,,,,,,
42,19,281,0.634311512,0.03024911,0.030716055,-3.482969789
,,,,,,
44,17,264,0.595936795,0.031565657,0.03207459,-3.439691137
,,,,,,
47,25,239,0.539503386,0.029288703,0.02972618,-3.515727131
,,,,,,
49,14,225,0.507900677,0.035555556,0.036203049,-3.318611946
,,,,,,
51,16,209,0.471783296,0.038277512,0.039029344,-3.243441508
,,,,,,
54,24,185,0.417607223,0.043243243,0.044206093,-3.11889266
,,,,,,
56,16,169,0.381489842,0.029585799,0.030032287,-3.505482239
,,,,,,
58,9,159,0.358916479,0.037735849,0.038466281,-3.257973244
,,,,,,
61,18,141,0.318284424,0.046099291,0.047195691,-3.053452676
,,,,,,
63,13,128,0.288939052,0.05859375,0.060380511,-2.807088892
,,,,,,
65,13,113,0.255079007,0.061946903,0.063948725,-2.749673695
,,,,,,
68,21,92,0.207674944,0.157608696,0.171510641,-1.763109969
,,,,,,
70,29,63,0.14221219,0.134920635,0.144934025,-1.931476642
,,,,,,
72,17,46,0.103837472,0.101449275,0.10697212,-2.235187043
,,,,,,
75,14,32,0.072234763,0.171875,0.18859117,-1.66817373
,,,,,,
77,11,21,0.047404063,0.166666667,0.182321557,-1.701983355
,,,,,,
79,7,14,0.031602709,0.166666667,0.182321557,-1.701983355
,,,,,,
82,7,7,0.015801354,0.214285714,0.241162057,-1.422286137
,,,,,,
84,3,4,0.009029345,0.125,0.133531393,-2.013418678
,,,,,,
86,1,3,0.006772009,0.111111111,0.117783036,-2.138911028
,,,,,,
89,1,2,0.004514673,0,0,
,,,,,,
91,0,2,0.004514673,0.25,0.287682072,-1.245899324
,,,,,,
93,1,1,0.002257336,1,,
,,,,,,
94,0,0,0,,,
