time,n.dying,no.surv,lx,qx,ux,ln.ux
,,,,,,
0,0,442, ,0.002262443,0.002265007,-6.090177593
,,,,,,
2,2,440,0.995475113,0.003030303,0.003034904,-5.797575586
,,,,,,
5,0,436,0.986425339,0,0,
,,,,,,
7,0,436,0.986425339,0.002293578,0.002296212,-6.076494357
,,,,,,
9,1,434,0.981900452,0.002304147,0.002306806,-6.071891353
,,,,,,
12,1,431,0.975113122,0.003480278,0.003486349,-5.658900314
,,,,,,
14,0,428,0.968325792,0.003504673,0.003510829,-5.651903187
,,,,,,
16,3,425,0.961538462,0.00627451,0.006294277,-5.068114428
,,,,,,
19,7,417,0.943438914,0.009592326,0.009638629,-4.641976417
,,,,,,
21,8,409,0.925339367,0.025672372,0.026007658,-3.649364253
,,,,,,
23,21,388,0.877828054,0.020618557,0.020834087,-3.87116484
,,,,,,
26,23,364,0.823529412,0.065934066,0.06820825,-2.685189753
,,,,,,
28,48,316,0.714932127,0.049050633,0.05029446,-2.989860355
,,,,,,
30,30,285,0.64479638,0.057309942,0.059017726,-2.829917432
,,,,,,
33,49,236,0.533936652,0.072033898,0.074760075,-2.59347129
,,,,,,
35,34,202,0.457013575,0.081683168,0.085212815,-2.462603442
,,,,,,
37,33,169,0.382352941,0.076923077,0.080042708,-2.525194941
,,,,,,
40,39,130,0.294117647,0.130769231,0.140146632,-1.965066035
,,,,,,
42,34,96,0.21719457,0.098958333,0.104203778,-2.261406898
,,,,,,
44,19,77,0.174208145,0.108225108,0.114541542,-2.166817712
,,,,,,
47,25,52,0.117647059,0.134615385,0.144581229,-1.933913792
,,,,,,
49,14,38,0.085972851,0.236842105,0.27029033,-1.308258602
,,,,,,
51,18,20,0.045248869,0.183333333,0.202524264,-1.596895577
,,,,,,
54,11,9,0.020361991,0.055555556,0.057158414,-2.861928676
,,,,,,
56,1,8,0.018099548,0.25,0.287682072,-1.245899324
,,,,,,
58,4,4,0.009049774,0.166666667,0.182321557,-1.701983355
,,,,,,
61,2,2,0.004524887,0.25,0.287682072,-1.245899324
,,,,,,
63,1,1,0.002262443,0,0,
,,,,,,
65,0,1,0.002262443,0,0,
,,,,,,
68,0,1,0.002262443,0,0,
,,,,,,
70,0,1,0.002262443,0,0,
,,,,,,
72,0,1,0.002262443,0,0,
,,,,,,
75,0,1,0.002262443,0,0,
,,,,,,
77,0,1,0.002262443,0,0,
,,,,,,
79,0,1,0.002262443,0,0,
,,,,,,
82,0,1,0.002262443,0.5,0.693147181,-0.366512921
,,,,,,
84,1,0,,,,
