time,n.dying,no.surv,lx,qx,ux,ln.ux
0,0,433,1,0.002309469,0.00231214,-6.069581881
2,2,431,0.995381062,0.00154679,0.001547988,-6.470799304
5,1,429,0.990762125,0.002331002,0.002333723,-6.060290284
7,1,427,0.986143187,0.00117096,0.001171646,-6.749345428
9,0,426,0.983833718,0,0,
12,0,426,0.983833718,0,0,
14,0,426,0.983833718,0.004694836,0.004705891,-5.358940143
16,4,422,0.974595843,0.001579779,0.001581028,-6.449680012
19,2,420,0.969976905,0.005952381,0.005970167,-5.120980381
21,5,415,0.958429561,0.010843373,0.010902591,-4.518754781
23,9,406,0.937644342,0.010673235,0.010730602,-4.534655587
26,13,393,0.907621247,0.022900763,0.023167059,-3.765023868
28,18,375,0.866050808,0.033333333,0.033901552,-3.384294493
30,25,350,0.808314088,0.026666667,0.027028672,-3.610857036
33,28,322,0.743648961,0.045031056,0.046076458,-3.077453125
35,29,293,0.676674365,0.018771331,0.018949749,-3.965964605
37,11,282,0.651270208,0.035460993,0.036105005,-3.321323791
40,30,252,0.581986143,0.06547619,0.067718174,-2.692400685
42,32,219,0.505773672,0.029680365,0.030129741,-3.502242507
44,13,206,0.475750577,0.03236246,0.032897704,-3.414352426
47,20,186,0.429561201,0.080645161,0.084083117,-2.475949479
49,30,156,0.360277136,0.115384615,0.122602322,-2.098809315
51,36,120,0.277136259,0.091666667,0.096143861,-2.341909662
54,33,87,0.200923788,0.126436782,0.135174778,-2.001186683
56,22,65,0.150115473,0.161538462,0.176186568,-1.736211799
58,21,44,0.101616628,0.181818182,0.200670695,-1.606090045
61,22,20,0.046189376,0.225,0.25489225,-1.366914374
63,9,11,0.025404157,0.181818182,0.200670695,-1.606090045
65,4,7,0.016166282,0.19047619,0.211309094,-1.554433319
68,4,3,0.006928406,0.333333333,0.405465108,-0.902720456
70,2,1,0.002309469,0.5,0.693147181,-0.366512921
72,1,0,0,,,
