time,condition,mort_values,MN,rapa
75,aa1_ctrl,-1.117969177,AA,-
84,aa1_ctrl,-1.595867636,AA,-
70,aa1_ctrl,-1.78238682,AA,-
65,aa1_ctrl,-1.806353241,AA,-
72,aa1_ctrl,-2.193087167,AA,-
63,aa1_ctrl,-2.229746521,AA,-
56,aa1_ctrl,-2.324091828,AA,-
44,aa1_ctrl,-2.454278961,AA,-
68,aa1_ctrl,-2.47966271,AA,-
42,aa1_ctrl,-2.677489542,AA,-
51,aa1_ctrl,-2.689707896,AA,-
54,aa1_ctrl,-2.704702334,AA,-
47,aa1_ctrl,-3.009695101,AA,-
49,aa1_ctrl,-3.090353131,AA,-
61,aa1_ctrl,-3.207599171,AA,-
40,aa1_ctrl,-3.44052195,AA,-
58,aa1_ctrl,-3.583261651,AA,-
35,aa1_ctrl,-3.595102129,AA,-
30,aa1_ctrl,-3.692237611,AA,-
37,aa1_ctrl,-4.110784272,AA,-
33,aa1_ctrl,-4.204525508,AA,-
28,aa1_ctrl,-5.666422697,AA,-
21,aa1_ctrl,-5.680168726,AA,-
14,aa1_ctrl,-5.686971526,AA,-
12,aa1_ctrl,-6.099193468,AA,-
70,aa1_rapa,-1.711987534,AA,+
82,aa1_rapa,-1.853627151,AA,+
72,aa1_rapa,-1.889545835,AA,+
77,aa1_rapa,-1.939046504,AA,+
75,aa1_rapa,-2.153284171,AA,+
63,aa1_rapa,-2.728608719,AA,+
79,aa1_rapa,-2.832058208,AA,+
68,aa1_rapa,-2.888049947,AA,+
56,aa1_rapa,-2.978062367,AA,+
65,aa1_rapa,-3.019630888,AA,+
49,aa1_rapa,-3.480924378,AA,+
42,aa1_rapa,-3.540679169,AA,+
58,aa1_rapa,-3.592483007,AA,+
61,aa1_rapa,-3.643630595,AA,+
28,aa1_rapa,-3.87797874,AA,+
54,aa1_rapa,-5.233757511,AA,+
21,aa1_rapa,-5.594706773,AA,+
19,aa1_rapa,-6.00757939,AA,+
86,aa2_ctrl,-0.858850162,AA,-
70,aa2_ctrl,-1.407419483,AA,-
79,aa2_ctrl,-1.693567681,AA,-
65,aa2_ctrl,-1.899646859,AA,-
89,aa2_ctrl,-2.001332744,AA,-
68,aa2_ctrl,-2.215756504,AA,-
63,aa2_ctrl,-2.629357266,AA,-
56,aa2_ctrl,-2.675217378,AA,-
84,aa2_ctrl,-2.706565859,AA,-
75,aa2_ctrl,-2.737705534,AA,-
58,aa2_ctrl,-2.808191131,AA,-
72,aa2_ctrl,-2.889341573,AA,-
61,aa2_ctrl,-2.982380426,AA,-
54,aa2_ctrl,-3.209933167,AA,-
82,aa2_ctrl,-3.237523317,AA,-
77,aa2_ctrl,-3.295379347,AA,-
49,aa2_ctrl,-4.094251958,AA,-
47,aa2_ctrl,-4.134974509,AA,-
44,aa2_ctrl,-4.174308366,AA,-
51,aa2_ctrl,-4.352370901,AA,-
42,aa2_ctrl,-5.579725079,AA,-
37,aa2_ctrl,-5.594706773,AA,-
35,aa2_ctrl,-5.602114282,AA,-
28,aa2_ctrl,-5.609467323,AA,-
14,aa2_ctrl,-5.624013162,AA,-
40,aa2_ctrl,-5.992709091,AA,-
26,aa2_ctrl,-6.022231798,AA,-
79,aa2_rapa,-0.599099353,AA,+
77,aa2_rapa,-0.712504069,AA,+
70,aa2_rapa,-1.12035927,AA,+
72,aa2_rapa,-1.182367109,AA,+
75,aa2_rapa,-1.821172182,AA,+
63,aa2_rapa,-2.193087167,AA,+
68,aa2_rapa,-2.47966271,AA,+
56,aa2_rapa,-3.134863579,AA,+
61,aa2_rapa,-3.394782742,AA,+
65,aa2_rapa,-3.480924378,AA,+
58,aa2_rapa,-3.653028492,AA,+
54,aa2_rapa,-4.016139457,AA,+
49,aa2_rapa,-4.085882146,AA,+
51,aa2_rapa,-4.343749197,AA,+
42,aa2_rapa,-4.434730329,AA,+
44,aa2_rapa,-4.812162322,AA,+
28,aa2_rapa,-5.556823093,AA,+
23,aa2_rapa,-5.564515514,AA,+
47,aa2_rapa,-5.898520906,AA,+
40,aa2_rapa,-5.954536146,AA,+
12,aa2_rapa,-6.000171881,AA,+
91,aa3_ctrl,-1.059660101,AA,-
93,aa3_ctrl,-1.059660101,AA,-
79,aa3_ctrl,-1.123026557,AA,-
72,aa3_ctrl,-1.448162043,AA,-
82,aa3_ctrl,-1.716658489,AA,-
70,aa3_ctrl,-2.357875842,AA,-
86,aa3_ctrl,-2.395130536,AA,-
77,aa3_ctrl,-2.523589371,AA,-
84,aa3_ctrl,-2.562971895,AA,-
89,aa3_ctrl,-2.598552275,AA,-
63,aa3_ctrl,-2.791956496,AA,-
68,aa3_ctrl,-3.144915179,AA,-
49,aa3_ctrl,-3.172828907,AA,-
75,aa3_ctrl,-3.348979616,AA,-
54,aa3_ctrl,-3.359470098,AA,-
61,aa3_ctrl,-3.552689916,AA,-
65,aa3_ctrl,-3.806497845,AA,-
47,aa3_ctrl,-4.051558038,AA,-
58,aa3_ctrl,-4.054579056,AA,-
56,aa3_ctrl,-4.088679876,AA,-
42,aa3_ctrl,-4.102552286,AA,-
35,aa3_ctrl,-4.158801695,AA,-
51,aa3_ctrl,-4.624940773,AA,-
40,aa3_ctrl,-5.225724994,AA,-
33,aa3_ctrl,-5.280643007,AA,-
44,aa3_ctrl,-5.468054207,AA,-
37,aa3_ctrl,-5.525447648,AA,-
30,aa3_ctrl,-5.579725079,AA,-
14,aa3_ctrl,-5.587243983,AA,-
9,aa3_ctrl,-5.594706773,AA,-
2,aa3_ctrl,-5.638350448,AA,-
84,aa3_rapa,-0.780568752,AA,+
86,aa3_rapa,-1.059660101,AA,+
77,aa3_rapa,-1.311193381,AA,+
82,aa3_rapa,-1.465125209,AA,+
79,aa3_rapa,-1.78238682,AA,+
75,aa3_rapa,-1.876158271,AA,+
72,aa3_rapa,-1.986181295,AA,+
70,aa3_rapa,-2.395130536,AA,+
65,aa3_rapa,-2.719849963,AA,+
61,aa3_rapa,-3.155639937,AA,+
56,aa3_rapa,-3.191283783,AA,+
68,aa3_rapa,-3.207599171,AA,+
63,aa3_rapa,-3.343623519,AA,+
58,aa3_rapa,-3.713373721,AA,+
