Bxed,mito,nuclear,rep,time,line,rapa,event,censor,number
yes,B,A,3,2,BA3,no,0,1,1
yes,B,A,3,5,BA3,no,0,1,2
yes,B,A,3,7,BA3,no,1,1,3
yes,B,A,3,9,BA3,no,1,1,4
yes,B,A,3,12,BA3,no,0,1,5
yes,B,A,3,14,BA3,no,0,1,6
yes,B,A,3,16,BA3,no,1,1,7
yes,B,A,3,19,BA3,no,0,1,8
yes,B,A,3,21,BA3,no,2,1,9
yes,B,A,3,23,BA3,no,0,1,10
yes,B,A,3,26,BA3,no,0,1,11
yes,B,A,3,28,BA3,no,3,1,12
yes,B,A,3,30,BA3,no,0,1,13
yes,B,A,3,33,BA3,no,2,1,14
yes,B,A,3,35,BA3,no,4,1,15
yes,B,A,3,37,BA3,no,1,1,16
yes,B,A,3,40,BA3,no,19,1,17
yes,B,A,3,42,BA3,no,0,1,18
yes,B,A,3,44,BA3,no,4,1,19
yes,B,A,3,47,BA3,no,4,1,20
yes,B,A,3,49,BA3,no,4,1,21
yes,B,A,3,51,BA3,no,5,1,22
yes,B,A,3,54,BA3,no,5,1,23
yes,B,A,3,56,BA3,no,4,1,24
yes,B,A,3,58,BA3,no,0,1,25
yes,B,A,3,61,BA3,no,3,1,26
yes,B,A,3,63,BA3,no,5,1,27
yes,B,A,3,65,BA3,no,1,1,28
yes,B,A,3,68,BA3,no,3,1,29
yes,B,A,3,70,BA3,no,3,1,30
yes,B,A,3,72,BA3,no,2,1,31
yes,B,A,3,75,BA3,no,4,1,32
yes,B,A,3,77,BA3,no,3,1,33
yes,B,A,3,79,BA3,no,6,1,34
yes,B,A,3,82,BA3,no,4,1,35
yes,B,A,3,84,BA3,no,6,1,36
yes,B,A,3,86,BA3,no,1,1,37
yes,B,A,3,89,BA3,no,1,1,38
yes,B,A,3,91,BA3,no,2,1,39
yes,B,A,3,93,BA3,no,0,1,40
yes,B,A,3,96,BA3,no,0,1,41
yes,B,A,3,96,BA3,no,0,1,42
yes,B,A,3,96,BA3,no,0,1,43
yes,B,A,3,96,BA3,no,0,1,44
yes,B,A,3,96,BA3,no,0,1,45
yes,B,A,3,96,BA3,no,0,1,46
